Method,Total Reward,Final Win Rate,Mean Rolling Win Rate,Win Rate Error,Mean Difficulty,Difficulty Std,Mean Absolute Difficulty Change,Episode Length,Player Profile,Seed
Static Medium,53.96419096469202,1.0,0.7507460317460317,0.05074603174603176,0.5,0.0,0.0,200,Unseen Fast Learning,106
Static Hard,-34.146491217542305,0.8,0.5301230158730159,0.16987698412698404,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,106
Rule-Based DDA,77.20061356517057,1.0,0.961654761904762,0.261654761904762,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,106
PPO DDA,179.2316440250501,0.9,0.7623234126984128,0.062323412698412795,0.5164267348870635,0.3807932557756143,0.2829592498253338,200,Unseen Fast Learning,107
Static Easy,81.41636928739698,1.0,0.8718234126984128,0.17182341269841284,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,107
Static Medium,26.71772977900236,1.0,0.7075,0.007500000000000062,0.5,0.0,0.0,200,Unseen Fast Learning,107
Static Hard,-47.0070155387117,1.0,0.5225000000000001,0.17749999999999988,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,107
Rule-Based DDA,56.80466832750734,1.0,0.9368234126984127,0.23682341269841278,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,107
PPO DDA,192.4879336712795,0.9,0.7748214285714287,0.0748214285714287,0.5069950649887324,0.3742114091950064,0.23684374538797828,200,Unseen Fast Learning,108
Static Easy,93.4211129329702,1.0,0.8762202380952382,0.17622023809523824,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,108
Static Medium,31.899203722615564,1.0,0.7256448412698413,0.025644841269841345,0.5,0.0,0.0,200,Unseen Fast Learning,108
Static Hard,-47.31911093439607,1.0,0.5425,0.15749999999999997,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,108
Rule-Based DDA,56.233819640445176,1.0,0.9412202380952381,0.24122023809523818,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,108
PPO DDA,180.32964935434367,0.8,0.7648015873015873,0.06480158730158736,0.5116463100723923,0.3739628772087885,0.2667294694999954,200,Unseen Fast Learning,109
Static Easy,72.71234819417373,1.0,0.866095238095238,0.16609523809523807,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,109
Static Medium,32.96258243226681,1.0,0.6975,0.0024999999999999467,0.5,0.0,0.0,200,Unseen Fast Learning,109
Static Hard,-22.24771181587194,0.9,0.5319999999999999,0.16800000000000004,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,109
Rule-Based DDA,51.436616404518006,1.0,0.9179503968253968,0.21795039682539685,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,109
PPO DDA,177.4424744958039,0.6,0.67,0.029999999999999916,0.29674105636775494,0.3471144789095963,0.21354933869299578,200,Unseen Strong Fatigue,100
Static Easy,-20.822458940912256,0.2,0.5980000000000001,0.10199999999999987,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,100
Static Medium,-139.13630796001962,0.0,0.4175,0.2825,0.5,0.0,0.0,200,Unseen Strong Fatigue,100
Static Hard,-312.9670955024725,0.0,0.23249999999999996,0.4675,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,100
Rule-Based DDA,93.11344784589346,0.7,0.856,0.15600000000000003,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,100
PPO DDA,194.16709446959564,0.5,0.691,0.009000000000000008,0.3026761507801712,0.3498266627920129,0.2164224610107029,200,Unseen Strong Fatigue,101
Static Easy,66.07023217136486,0.2,0.665,0.03499999999999992,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,101
Static Medium,-143.3457562678549,0.0,0.4225,0.27749999999999997,0.5,0.0,0.0,200,Unseen Strong Fatigue,101
Static Hard,-305.74530317887536,0.0,0.2143551587301587,0.48564484126984125,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,101
Rule-Based DDA,124.28801531970082,0.7,0.8965000000000001,0.19650000000000012,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,101
PPO DDA,188.2947519561288,0.5,0.6783194444444445,0.02168055555555548,0.3009833063557744,0.3542895214328104,0.21360302409484758,200,Unseen Strong Fatigue,102
Static Easy,-52.630402839532636,0.1,0.5983194444444445,0.10168055555555544,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,102
Static Medium,-120.58498283683262,0.1,0.4383194444444445,0.26168055555555547,0.5,0.0,0.0,200,Unseen Strong Fatigue,102
Static Hard,-304.56504230477174,0.0,0.24231944444444445,0.45768055555555553,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,102
Rule-Based DDA,100.8765244934746,0.6,0.8858194444444445,0.18581944444444454,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,102
PPO DDA,178.56116186024175,0.5,0.6751051587301586,0.024894841269841317,0.28716891108080744,0.3492270710642064,0.18421759886957292,200,Unseen Strong Fatigue,103
Static Easy,41.03929644774916,0.3,0.6525,0.04749999999999999,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,103
Static Medium,-137.37595714398168,0.0,0.4221051587301588,0.27789484126984115,0.5,0.0,0.0,200,Unseen Strong Fatigue,103
Static Hard,-312.0055931593426,0.0,0.23710515873015872,0.46289484126984126,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,103
Rule-Based DDA,114.97848685651122,0.7,0.888,0.18800000000000006,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,103
PPO DDA,188.96896011346647,0.7,0.6805,0.019499999999999962,0.2757432016171515,0.3343629630980077,0.19552650969082386,200,Unseen Strong Fatigue,104
Static Easy,-0.8218501150757445,0.3,0.5885,0.11149999999999993,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,104
Static Medium,-173.08706001005058,0.0,0.4125,0.2875,0.5,0.0,0.0,200,Unseen Strong Fatigue,104
Static Hard,-316.84674323574035,0.0,0.23749999999999993,0.4625,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,104
Rule-Based DDA,108.86269271560236,0.7,0.8704999999999999,0.17049999999999998,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,104
PPO DDA,195.66302144632118,0.7,0.6713551587301587,0.028644841269841237,0.29498949203640223,0.34546318531868714,0.24060942030432236,200,Unseen Strong Fatigue,105
Static Easy,-11.260537872454666,0.1,0.5938551587301588,0.10614484126984114,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,105
Static Medium,-125.75591598836643,0.0,0.4228551587301588,0.2771448412698412,0.5,0.0,0.0,200,Unseen Strong Fatigue,105
Static Hard,-254.75006669735902,0.0,0.25785515873015874,0.4421448412698412,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,105
Rule-Based DDA,101.20746867889932,0.7,0.8913551587301586,0.19135515873015863,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,105
PPO DDA,172.25514162044723,0.6,0.6725,0.02749999999999997,0.29475809974595907,0.3471997569246862,0.1968887767300534,200,Unseen Strong Fatigue,106
Static Easy,-18.098135842182373,0.0,0.5975,0.10249999999999992,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,106
Static Medium,-90.68455369818398,0.0,0.4625,0.23749999999999993,0.5,0.0,0.0,200,Unseen Strong Fatigue,106
Static Hard,-311.28754851457717,0.0,0.23249999999999996,0.4675,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,106
Rule-Based DDA,108.95857723405457,0.8,0.9009999999999999,0.20099999999999996,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,106
PPO DDA,160.56798410241063,0.2,0.6533412698412698,0.04665873015873012,0.30117466816678645,0.34827315120620034,0.23918440634731072,200,Unseen Strong Fatigue,107
Static Easy,-5.090640208978605,0.0,0.5853412698412699,0.11465873015873007,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,107
Static Medium,-123.2897584561217,0.0,0.42534126984126985,0.2746587301587301,0.5,0.0,0.0,200,Unseen Strong Fatigue,107
Static Hard,-265.46262094993597,0.0,0.24534126984126986,0.4546587301587301,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,107
Rule-Based DDA,102.01472922345518,0.6,0.8875218253968253,0.18752182539682538,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,107
PPO DDA,174.58921270257017,0.6,0.6864444444444444,0.013555555555555543,0.32288195967674255,0.3599149478540783,0.2218324165023751,200,Unseen Strong Fatigue,108
Static Easy,33.63570000249076,0.2,0.6559999999999999,0.04400000000000004,0.30000001192092896,0.0,0.0,200,Unseen Strong Fatigue,108
Static Medium,-123.19411215128423,0.0,0.4625,0.23749999999999993,0.5,0.0,0.0,200,Unseen Strong Fatigue,108
Static Hard,-253.99471393607809,0.0,0.25546626984126986,0.4445337301587301,0.699999988079071,0.0,0.0,200,Unseen Strong Fatigue,108
Rule-Based DDA,111.22235276184077,0.7,0.8805,0.1805,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Strong Fatigue,108
PPO DDA,174.65786431429234,0.5,0.6522718253968253,0.04772817460317469,0.27900603735819457,0.33500472252742236,0.22244902340760783,200,Unseen Strong Fatigue,109
